username,time,product,background,feedback,Image Input URL,Image Output URL
akashdey,2024-04-24 19:10:17,shoes,fire flames,shoes should not be on fire,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713966020/tp3l1htnyiw6rqcxrwuw.jpg,
Balaji,2024-04-25 07:40:44,Blue water bottle made of metal,Background should be a waterfall in a forest with the product placed on a rock,Bottle is floating and one more bottle got added,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714011047/mlnvog5u48v3hnhkt05x.jpg,
Balaji,2024-04-25 09:52:52,Christmas theme teapot,Christmas,Good output inline with expectation,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714018974/twplpks7qkofgoi5sgbs.jpg,
