username,generation time,Feedback,Room Type,Style,Image Input URL,Image Output URL
akashdey,2024-04-19 20:27:21,How did windows suddenly show up?,pujaroom,neoclassical,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538644/dtmqud14iwmcxjlijaoo.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538646/nwhqib7zerreaaebgk1d.png
akashdey,2024-04-19 20:27:25,How did windows suddenly show up?,pujaroom,neoclassical,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538648/n4ielwoctnoz9tnsbkow.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713538649/qar2t7wmwdg5hhxwptm5.png
akashdey,2024-04-19 20:48:00,Good good,pujaroom,neoclassical,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713539883/zxsqcr4m3anrumgi340a.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713539884/sqa0py8eof1g7uy2byvr.png
akashdey,2024-04-19 20:54:13,Good only,living-room,neoclassical,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713540255/rdqgkpf3nwvujn2jadzq.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713540256/pjen5k911t3seiygkafx.png
Akash,2024-04-19 23:25:14,"Bed is scaled down, maybe reflections in input image are impacting",bedroom,neoclassical,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713549318/rkjumdwht4spehw4rdvr.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713549319/tlalhsbbua0uueaesk1u.png
Souvik,2024-04-25 14:42:08,"If room has furniture existing, it doesnt map appropriately. ",living-room,modern,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714036330/wshvaxj9bc3zxg84frmn.jpg,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714036333/fwd9ejmxsbuewwca9wrx.png
