username,time,product,placement,background,feedback,Image Input URL,Image Output URL
akashdey,2024-04-24 18:46:27,bottle,on a shelf,bar,good follows prompt,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713964590/bx3hkguij8by54fm6g9x.webp,
akashdey,2024-04-24 18:49:57,bottle,on a shelf,bar,good follows prompt,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713964799/oawemekhznuszkjmrpd7.webp,
akashdey,2024-04-24 19:13:49,Tshirt,,Crowded stadium of people,Image is squished,http://res.cloudinary.com/dn3nt85k0/image/upload/v1713966232/bxjm7fqwstktw9ikysgc.jpg,
Balaji,2024-04-25 07:06:12,Water dispenser ,Kitchen,Outdoor in a park for a birthday party,There is nothing indicating birthday celebration,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714008975/gmrxkb7msbouni92rgtk.jpg,
akashdey,2024-04-25 08:30:35,White Plate with Roti and Curry in a bowl,Restaurant table,In a restaurant,Black outline around roti,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714014038/n43eqvgnfy7z4manwjin.jpg,
Balaji,2024-04-25 09:05:39,Teapot which is Christmas themed,On a table,Christmas background ,This is good ,http://res.cloudinary.com/dn3nt85k0/image/upload/v1714016150/htmdxm7odh20g60o0ktp.jpg,
